TEMPO_CRIACAO, TEMPO_BFS, TEMPO_DFS
3111773,6258012,5015
2503132,1084370,4355
1910215,5371133,4003
1753506,5114,2789
1681744,15720,3400
1852243,1924,3427
2898418,2486696,4062
1681710,6684,4064
1754414,35104,3293
1662276,765223,3769
1724240,107753,3565
1772654,8765580,12837
1717106,287238,2786
1679420,105901,2892
1684287,154545,3571
3657532,3756623,5398
2291742,2163939,3354
1681346,2653524,18243
1692294,129259,2859
1918543,5587,3583
1714181,6098045,3676
1762609,524115,3638
1987576,640134,3768
1836565,972404,3462
1990933,2896771,24019
2195961,15476,3044
1743281,2613,3306
2540490,8430,4152
2500370,2417744,3779
1752072,4149066,4162
1802445,27238652,7703
1678343,18125534,4252
1905328,974989,3352
1796732,84476,3538
1722531,1119214,3544
1752754,813899,3271
1692339,40280,2819
1774058,3050224,3614
1749186,13378161,4942
1666018,265971,3902
1765856,35803,3969
1740742,3558601,3796
1678000,20469859,7360
1782554,1407008,3724
1731310,8432395,3688
1800265,1613296,3865
1709227,132893,3807
1756037,1785956,3467
1700810,41134458,12824
1750215,918310,3992
1656515,38650,3067
1724786,239961,3504
1701114,1705525,3604
1758353,17694711,7214
1657025,4240250,4930
1747224,1266518,3276
1754214,5712384,15368
1786729,1475679,3244
1649723,2536405,3753
1794727,5264470,14641
1692291,96874,4001
1782514,4785,2626
1814035,11174408,11988
1707672,13388149,14509
1714882,194018,3740
1686541,4433143,4550
1805084,18038753,11067
2226531,4871,2185
1768336,6884,3694
1721128,5275182,4412
1756508,817909,3491
2009057,216144,4029
1685994,98824,3283
1700647,109980,3571
1678366,14570254,9735
1725524,42702879,13572
1712072,29119,3777
1899672,37830454,7204
1722665,5866734,4233
1784597,19771,3313
1674581,4121414,3558
1692597,11834306,14837
1666119,343042,3850
1797706,959266,3537
2272848,3928,2818
1796048,706,2418
1695796,19391460,8312
1630591,282753,3736
1806518,64593,3529
1835739,292116,4660
1627825,1254064,3949
1731036,96975,3700
1764964,35342,5075
1699823,686352,3259
2137532,3182114,14254
1752104,92516,3151
1769621,4188,3594
1748946,9633365,16426
1767117,1641632,3928
1724867,14978,2229
